NAME,RATING,REVIEW,COST,URL,BRAND,MODEL NAME,SKU,BATTERY LIFE,BLUETOOTH,BLUETOOTH RANGE,BATTERY LIFE,POWER INPUT,WIRED/WIRELESS,TYPE,COMPATIBLE DEVICES,WARRANTY SUMMARY,ADDITIONAL FEATURE,Generic Name,Country of origin,Country of Manufacturer,Manufacturers Details,Importer Detail,Packers Details,Item Available From Date,Product Dimensions(W x D x H),Product Weight
Bose SoundSport Wireless Headphone (Citron),4,5610 Ratings & 848 Reviews,"11,949",https://www.vijaysales.com/bose-soundsport-wireless-headphone-citron/7405,BOSE,SoundSport,SSPULSEWIRELESSCINTRON,,,,,,Wireless,,,,"Sweat Resistant and Weather Resistant Design

Bluetooth and NFC pairing keep you tangle free

Rechargeable lithium-ion battery

Charging time: 2 Hours

Battery life: 6 Hours

Dimension: 3.05 cm (H) x 2.5 cm (W) x 3.05 cm (D)

Weight: 23 g",Neckband,Mexico,China,Bose Corporation India Private Limited,"Savex Technologies Pvt Ltd. 124B Maker Chamber 3, Nariman Point, Mumbai 400021, India","Bose Corporation India Pvt. Ltd. Tower B, 4Th Floor, N-10, Dlf Cyber City, Dlf Phase 2, Gurugram, Haryana 122010",03 May 2021,25 x 30 x 30 cm,22.7 gm
"Bose Soundsport Wireless Bluetooth Earbuds, Sweatproof for Running and Sports (Black)",,,"11,949",https://www.vijaysales.com/bose-soundsport-wireless-bluetooth-earbuds-sweatproof-for-running-and-sports-black/16910,Bose,Soundsport,SSPULSEWIRELESSBLACK,,Supported,9 metres (30 feet),,,,,,,,TWS,Mexico,China,Bose Corporation India Private Limited,"Savex Technologies Pvt Ltd. 124B Maker Chamber 3, Nariman Point, Mumbai 400021, India","Bose Corporation India Pvt. Ltd. Tower B, 4Th Floor, N-10, Dlf Cyber City, Dlf Phase 2, Gurugram, Haryana 122016",03 May 2017,2.5 x 3.05 x 3.05 cm,22.7 gm
"Bose Noise Cancelling Headphones 700 Wireless, Bluetooth Headphone Built-In Microphone (Black)",4.2,4304 Ratings & 1616 Reviews,"31,050",https://www.vijaysales.com/bose-noise-cancelling-headphones-700-wireless-bluetooth-headphone-built-in-microphone-black/16927,Bose,700,HDPHS700BLK,,5.0 (including all headphone profiles),Up to 10 m,,,,,,,,Headphone,Mexico,China,Bose Corporation India Private Limited,"Savex Technologies Pvt Ltd. 124B Maker Chamber 3, Nariman Point, Mumbai 400021, India","Bose Corporation India Pvt. Ltd. Tower B, 4Th Floor, N-10, Dlf Cyber City, Dlf Phase 2, Gurugram, Haryana 122010",22 May 2019,16.5 x 5 x 20 cm,252 gm
"Bose QuietComfort Noise Cancelling Earbuds - True Wireless Earphones, Triple Black. The World's Most Effective Noise Cancelling Earbuds",4.2,1358 Ratings & 1186 Reviews,"24,290",https://www.vijaysales.com/bose-quietcomfort-noise-cancelling-earbuds-true-wireless-earphones-triple-black-the-world-s-most-effective-noise-cancelling-earbuds/16964,Bose,Bose QuietComfort Black,QCEARBUDSBLK,,"Yes, V5.1",Up to 9.144 m (30 ft),,,,,,,,TWS,Mexico,China,Bose Corporation India Private Limited,"Savex Technologies Pvt Ltd. 124B Maker Chamber 3, Nariman Point, Mumbai 400021, India","Bose Corporation India Pvt. Ltd. Tower B, 4Th Floor, N-10, Dlf Cyber City, Dlf Phase 2, Gurugram, Haryana 122012",08 Oct 2020,2.6 x 2.7 x 3.9 cm,9 gm
"Bose Sport Earbuds - True Wireless Earphones (Bluetooth Headphones for Workouts and Sports), Black",,,"16,190",https://www.vijaysales.com/bose-sport-earbuds-true-wireless-earphones-bluetooth-headphones-for-workouts-and-sports-black/16965,Bose,Sport Ear Buds Black,SPORTEARBUDSBLK,,"Yes, V5.1",Up to 9.144 m (30 ft),,,,,,,,TWS,Mexico,China,Bose Corporation India Private Limited,"Savex Technologies Pvt Ltd. 124B Maker Chamber 3, Nariman Point, Mumbai 400021, India","Bose Corporation India Pvt. Ltd. Tower B, 4Th Floor, N-10, Dlf Cyber City, Dlf Phase 2, Gurugram, Haryana 122013",08 Oct 2020,2.66 x 2.1 x 1.87 cm,6.75 gm
"LG Tone Free FN7 Earbuds with ANC, 99.9% Bacteria Free, Prestigious British Meridian Sound, Triple Microphones and IPX4 Water Resistance (White)",4.2,533 Ratings & 111 Reviews,"15,890",https://www.vijaysales.com/lg-tone-free-fn7-earbuds-with-anc-99-9-bacteria-free-prestigious-british-meridian-sound-triple-microphones-and-ipx4-water-resistance-white/15706,LG,Tone Free FN7,LGFN7WHT,,,,,,Truly Wireless,,,,,Bluetooth Headset,Korea,Vietnam,NA,"LG ELECTRONICS INC, LG TWIN TOWERS 128, YEOUI-DAERO,YOUNGDUNGPO-GU, SEOUL 07336, KOREA","LG ELECTRONICS INDIA PVT. LTD.,PLOT NO 4, TECHZONE 2,GREATER NOIDA-201308 ,UTTAR PRADESH",19 Jan 2021,16.2 x 32.766 x 25.0 mm,0.0054 kg
"Samsung Buds Pro (Silver) with IPX7 Water Resistance, 11 mm Woofer, Bixby Voice Wake Up",4.1,3127 Ratings & 1663 Reviews,"8,999",https://www.vijaysales.com/samsung-buds-pro-silver-with-ipx7-water-resistance-11-mm-woofer-bixby-voice-wake-up/15573,Samsung,Buds Pro,SM-R190NZSAINU,,,,,,Truly Wireless,,,,"Control Active Noise Canceling level for immersive sound experience
Bring studio sound to you from powerful 2-way speakers with sound by AKG
Immerse yourself with cinematic sound surrounding you with 360 Audio
Enjoy clear calling with high unctional 3-mic system",Buds,Vietnam,Vietnam,"Samsung Electronics Vietnam thai Nguyen Co. Ltd, Samsung Electronics Vietnam thai Nguyen Co. Ltd Yen Binh Industrial Park, Dong tien Ward, pho yen Town, Thai Nguyen Province, Vietnam",Importer Name & Address: Samsung India Electronics Pvt. Ltd. 6th Floor DLF Centre Sansad Marg New Delhi - 110001,"Samsung India Electronics Pvt ltd, 6th Floor , DLF Centre, Sansad Marg, New Delhi - 110001 . Email id: support.india@samsung.com, Tel(Toll Free): 1800 40 7267864",21 Jan 2021,1.95 x 2.08 x 2.05 mm,6.3 gms
JBL Quantum 600 Wireless Gaming Headphone (Black),4.1,373 Ratings & 87 Reviews,"12,999",https://www.vijaysales.com/jbl-quantum-600-wireless-gaming-headphone-black/13063,JBL,JBL QUANTUM 600,JBLQUANTUM600BLK,,,,,,Wireless,,,,"Frequency response: 20 Hz - 20 kHz
Microphone frequency response: 100 Hz - 10 kHz
Max input power: 30 mW
Sensitivity: 100 dB SPL @1 kHz / 1mW
Maximum SPL: 97 dB
Microphone sensitivity: -40 dBV @1 kHz / Pa
Impedency: 32 ohm
Microphone pickup pattern: Unidirectional
Weight: 346 g

Control and Connection Specifications
2.4G Wireless transmitter power: <4 dBm
2.4G Wireless modulation: ?/4-DQPSK
2.4G Wireless carrier frequency: 2403.35 MHz - 2479.35 MHz

Battery
Battery type: Li-ion battery (3.7 V / 1300 mAh)
Power supply: 5V 2A
Charging time: 2hrs
Music play time with RGB lighting off: 14hrs",Headphone,China,China,"Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA","Harman International India Pvt.Ltd Prestige Tech Park Jupiter, 2A 4th Floor Marathahalli Outer Ring Road,Kadubeesanahalli, Bangalore 560103","Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA",15 Jun 2020,42 x 25 x 30 cm,
JBL Quantum One Wired Gaming Headphone (Black),4.1,375 Ratings & 30 Reviews,"19,999",https://www.vijaysales.com/jbl-quantum-one-wired-gaming-headphone-black/13065,JBL,JBL QUANTUM ONE,JBLQUANTUMONEBLK,,,,,,Wired,,,,"Frequency response: 20 Hz - 40 kHz
Microphone frequency responseL: 100 Hz - 10 kHz
Max input power: 20 mW
Sensitivity: 95 dB @ 1 kHz, 1 mW
Maximum SPL: 97 dB
Microphone sensitivity: -41 dBV @1 kHz / Pa
Impedance: 32 ohm
Microphone pickup pattern: Unidirectional

Dimensions
Microphone size: 6 mm x 2.7mm
Weight: 369g
Driver Size: 50 mm Dynamic drivers",Headphone,China,China,"Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA","Harman International India Pvt.Ltd Prestige Tech Park Jupiter, 2A 4th Floor Marathahalli Outer Ring Road,Kadubeesanahalli, Bangalore 560103","Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA",15 Jun 2020,50 x 25 x 30 cm,
"Bose SoundLink Micro Portable Outdoor Waterproof Speaker, Wireless Bluetooth Connectivity (Black)",,,"8,090",https://www.vijaysales.com/bose-soundlink-micro-portable-outdoor-waterproof-speaker-wireless-bluetooth-connectivity-black/7393,Bose,Soundlink Micro,SLMICROBTBLACK,Battery life up to 6 hours,Yes,Wireless range up to 9 m (30 ft),Battery life up to 6 hours,Micro USB,Wireless,Lithium Ion,"?Mobile (IOS, Android, others), Tablets, Laptops, and all bluetooth devices",1 Year Manufacturer Warranty,,Portable Speaker,Mexico,China,Bose Corporation India Private Limited,"Savex Technologies Pvt Ltd. 124B Maker Chamber 3, Nariman Point, Mumbai 400021, India","Bose Corporation India Pvt. Ltd. Tower B, 4Th Floor, N-10, Dlf Cyber City, Dlf Phase 2, Gurugram, Haryana 122010",23 Jan 2018,99 x 36 x 99 cm,290 gm
